1253;American Psycho ;Book ;ISBN: 1447277708ISBN_13: 9781447277705;LA 17006B5;1;Main
1254;Atonement ;Book ;ISBN: 0099429799ISBN_13: 9780099429791;LA 17007B5;1;Main
1256;Toward a Psychology of Being ;Book ;ISBN: 1617202665ISBN_13: 9781617202667;SH18042B6;1;Main
1257;Beautiful Idiots and Brilliant Lunatics: A Sideways Look atTwentieth-Century London;Book ;ISBN: 144565119XISBN_13: 9781445651194;LA 17008B5;1;Main
1258;La vengeance du pardon (LittÇrature) (French Edition) ;Book ;ISBN: 2253259748ISBN_13: 9782253259749;FR16074B5;1;Main
1259;The War of the Worlds ;Book ;ISBN: 1405865245ISBN_13: 9781405865241;LA 17077B5;1;Main
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:13 3/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
1260;On the Road (READERS NIVEAU 5) (French Edition) ;Book ;ISBN: 1405882468ISBN_13: 9781405882460;LA 17056B5;1;Main
1261;Les Arabes, leur destin et le nìtre ;Book ;ISBN_13: 9782348040719 ;FR16121B5;1;Main
1262;Fictions ;Book ;ISBN: 2072798159ISBN_13: 9782072798153;FR16048B5;1;Main
1263;Reves De Femmes: Une Enfance Au Harem (Le Livre DePoche) (French Edition);Book ;ISBN: 2253145130ISBN_13: 9782253145134;FR16179B5;1;Main
1264;L'Çtranger (Collection Folio, no. 2) (French Edition) ;Book ;ISBN: 2070360024ISBN_13: 9782070360024;FR16140B5;1;Main
1265;les bronzes antiques du maroc ;Book ;HP20046B8;3;Main;
1266;Riche, pourquoi pas toi? - Tome 0 - Riche, pourquoi pas toi?(French Edition);Book ;ISBN: 2205071769ISBN_13: 9782205071764;FR16180B5;1;Main
1267;BrÅsel (Les CitÇs obscures) (French Edition) ;Book ;ISBN: 2203012897ISBN_13: 9782203012899;FR16019B5;1;Main
1268;La Carte et Le Territoire (LittÇrature franáaise) (FrenchEdition);Book ;ISBN: 2290032034ISBN_13: 9782290032039;FR16058B5;1;Main
1269;Fables (Classiques de Poche) (French Edition) ;Book ;ISBN: 2253010049ISBN_13: 9782253010043;FR16046B5;1;Main
1270;Une Si Longue Lettre ;Book ;ISBN: 2842612892ISBN_13: 9782842612894;FR16196B5;1;Main
1271;Vous n'aurez pas ma haine (Litterature & Documents)(French Edition);Book ;ISBN: 2253132039ISBN_13: 9782253132035;DP19088B7;1;Main
1272;Le Loup-Garou (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253148539ISBN_13: 9782253148531;FR16095B5;1;Main
1273;Les Amants Desunis (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253148555ISBN_13: 9782253148555;FR16119B5;1;Main
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:13 4/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
1274;Les Fourmis (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253147826ISBN_13: 9782253147824;FR16130B5;1;Main
1275;Adolescent (Folio (Gallimard)) (French Edition) ;Book ;ISBN: 2070405524ISBN_13: 9782070405527;FR16007B5;1;Main
1276;L'‘ve future (LittÇrature et civilisation) (French Edition) ;Book ;ISBN: 2081223376ISBN_13: 9782081223370;FR16141B5;1;Main
1277;Le Proces (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253150150ISBN_13: 9782253150152;FR16104B5;1;Main
1278;Les Identites Meurtrieres (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253150053ISBN_13: 9782253150053;FR16133B5;12;Main
1279;Voyage Au Bout De LA Nuit (Folio Plus Classique) (Englishand French Edition);Book ;ISBN: 2070336867ISBN_13: 9782070336869;FR16197B5;1;Main
1280;Pälerinage d'un artiste amoureux (Motifs) (French Edition) ;Book ;ISBN: 2268057704ISBN_13: 9782268057705;FR16169B5;1;Main
1281;L'Erreur de Descartes: La raison des Çmotions (OJ.POCHESCIENC) (French Edition);Book ;ISBN: 2738124577ISBN_13: 9782738124579;FR16118B5;1;Main
1282;Tout va basculer ! (A.M. SOCIETE) (French Edition) ;Book ;ISBN: 2226441948ISBN_13: 9782226441942;FR16190B5;1;Main
1284;Le Joueur (Ldp Classiques) (French Edition) ;Book ;ISBN: 2253011738ISBN_13: 9782253011736;FR16091B5;1;Main
1285;Project Management: Achieving Competitive Advantage,Global Edition;Book ;ISBN: 1292269146ISBN_13: 9781292269146;GI 12017B4;1;Main
1286;Model-based system and architecture engineering with thearcadia method;Book ;ISBN: 178548169XISBN_13: 9781785481697;GI 12012B4;1;Main
1287;ModÇlisation des bases de donnÇes: UML et les modälesentitÇ-association (Noire) (French Edition);Book ;ISBN: 2212674872ISBN_13: 9782212674873;GI 12013B4;1;Main
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:13 5/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
1288;Maintenance - 5e Çd. - Outils, mÇthodes et organisationsefficientes: Outils, mÇthodes et organisations efficientes(Technique et ingÇnierie) (French Edition);Book ;ISBN: 2100800485ISBN_13: 9782100800483;GI 12010B4;1;Main
1289;L'‘ve future (LittÇrature et civilisation) (French Edition) ;Book ;ISBN: 2081223376ISBN_13: 9782081223370;FR16141B5;2;Main
1290;La Silicolonisation du monde: L'irrÇsistible expansion dulibÇralisme (Pour en finir avec) (French Edition);Book ;ISBN: 2373090163ISBN_13: 9782373090161;SH18023B6;1;Main
1291;In Cold Blood ;Book ;ISBN: 0679745580ISBN_13: 9780679745587;LA 17022B5;1;Main
1292;Introduction Ö l'Çthique (Quadrige Manuels) (French Edition) ;Book ;ISBN: 2130632610ISBN_13: 9782130632610;SH18013B6;1;Main
1293;MISE EN SCENE VIE QUOTIDIENNE 2 (LE SENS COMMUN) ;Book ;ISBN: 2707300632ISBN_13: 9782707300638;FR16159B5;1;Main
1294;ElÇments d'ÇpistÇmologie (Hors Collection) (French Edition) ;Book ;ISBN: 2200282087ISBN_13: 9782200282080;PI 21006B8;1;Main
1295;Histoire des idÇes sociologiques - Tome 1 - 5e Çd. - Desorigines Ö Weber: Des origines Ö Weber (culture ge (1))(French Edition);Book ;ISBN: 2200617909ISBN_13: 9782200617905;SH18010B6;1;Main
1296;Philosophie des sciences (Tel, 271) (French Edition) ;Book ;ISBN: 2070740978ISBN_13: 9782070740970;PI 21016B8;1;Main
1297;La logique de la dÇcouverte scientifique (1_re_ed) -fermeture et bascule vers 9782228919173 (Essais payot)(French Edition);Book ;ISBN: 2228919179ISBN_13: 9782228919173;SH18016B6;1;Main
1298;Zhivago ;Book ;ISBN: 1405882425ISBN_13: 9781405882422;LA 17081B5;1;Main
1299;MatÇriaux - 4e Çd. T.2 Microstructures, mise en oeuvre etconception (MatÇriaux (2)) (French Edition);Book ;ISBN: 2100599879ISBN_13: 9782100599875;PH 755B1;1;Main
1300;The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Jointhe New Rich;Book ;ISBN: 0307465357ISBN_13: 9780307465351;DP19077B7;1;Main
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:13 6/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
1301;MatÇriaux - 4e Çd. - T1 PropriÇtÇs, applications et conception(MatÇriaux, 1) (French Edition);Book ;ISBN: 2100821342ISBN_13: 9782100821341;PH 756B1;1;Main
1302;Analyse fonctionnelle - ThÇorie et applications: ThÇorie etapplications (Sciences Sup) (French Edition);Book ;ISBN: 2100820281ISBN_13: 9782100820283;GI 12001B4;1;Main
1303;Introduction Ö la mÇcanique non linÇaire - Calcul desstructures par ÇlÇments finis: Calcul des structures parÇlÇments finis (Sciences Sup) (French Edition);Book ;ISBN: 2100811606ISBN_13: 9782100811601;PH 275B1;1;Main
1304;Ondes et vibrations - Fondamentaux et applications Öl'acoustique et Ö la diffusion de la chaleur: Fondamentaux etapplications Ö l'acoustique et Ö la ... de la chaleur (SciencesSup) (French Edition);Book ;ISBN: 2100759434ISBN_13: 9782100759439;PH1313B1;1;Main
1305;MÇcanique pour l'ingÇnieur - Milieux continus, fluides,solides indÇformables, structures: Milieux continus, fluides,solides indÇformables, structures - Cours et exercicescorrigÇs (Sciences Sup);Book ;ISBN: 2100806661ISBN_13: 9782100806669;PH 269B1;1;Main
1306;STRUCTURES EN MATERIAUX COMPOSITES : calcul parÇlÇments infinis;Book ;ISBN_13: 9782100792924 ;PH 752B1;1;Main
1307;La crise de la culture islamique ;Book ;ISBN_13: 9782213616261 ;HP20021B8;1;Main
1308;PLPR5:Firm, The RLA (Penguin Longman Penguin Readers) ;Book ;ISBN: 1405882433ISBN_13: 9781405882439;LA 17061B5;1;Main
1309;Lettres Ö Nour (Points) (French Edition) ;Book ;ISBN: 2757876988ISBN_13: 9782757876985;DP19049B7;1;Main
1310;MÇditer, jour apräs jour (psychologie) (French Edition) ;Book ;ISBN: 2913366376ISBN_13: 9782913366374;DP19054B7;1;Main
1313;Niloufar (Cadre vert) (French Edition) ;Book ;ISBN: 2021026663ISBN_13: 9782021026665;DP19058B7;1;Main
1314;Le moine qui vendit sa Ferrari (French Edition) ;Book ;ISBN: 2892257050ISBN_13: 9782892257052;DP19039B7;1;Main
1315;Entre science et rÇalitÇ (Poches sciences) (French Edition) ;Book ;ISBN: 270715640XISBN_13: 9782707156402;SH18008B6;1;Main
1316;La Nature de la physique (Points sciences) (French Edition) ;Book ;ISBN: 2020056585ISBN_13: 9782020056588;SH18019B6;1;Main
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:13 7/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
1317;Tunnel(le) (Points) (French Edition) ;Book ;ISBN: 2020239280ISBN_13: 9782020239288;FR16191B5;1;Main
1318;Petit Piment (Points) (French Edition) ;Book ;ISBN: 2757861883ISBN_13: 9782757861882;FR16170B5;1;Main
1319;Le chant du bourreau - Pavillons poche NE (French Edition) ;Book ;ISBN: 2221191803ISBN_13: 9782221191804;FR16083B5;1;Main
1320;ThÇoräme de Gîdel (Points sciences) (French Edition) ;Book ;ISBN: 2020327783ISBN_13: 9782020327787;FR16189B5;1;Main
1321;LA MEDIOCRATIE (POLLUX) (French Edition) ;Book ;ISBN: 2895962413ISBN_13: 9782895962410;FR16069B5;1;Main
1322;L'analphabete: Recite Autobiographique (ZoÇ) (FrenchEdition);Book ;ISBN: 2881825125ISBN_13: 9782881825125;FR16079B5;1;Main
1323;Le Jour venu (Cadre rouge) (French Edition) ;Book ;ISBN: 2020859238ISBN_13: 9782020859233;FR16093B5;1;Main
? Page 13 of 20, showing 100 records out of 1942 total, starting on record 1201, ending on 1300;;;;;;
;;;;;;
04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:13 8/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1324;Headstrong: 52 Women Who Changed Science-and the World ;Book ;ISBN: 0553446797ISBN_13: 9780553446791;LA 17018B5;1;Main
1325;Hope is a decision : selected essays of Daisaku Ikeda. ;Book ;ISBN_13: 9780977924585 ;LA 17020B5;1;Main
1326;Ethique Aujourd Hui (Folio Essais) (French Edition) ;Book ;ISBN: 207034357XISBN_13: 9782070343577;SH18009B6;1;Main
1327;freedom ;Book ;ISBN: 1250000017ISBN_13: 9781250000019;LA 17016B5;1;Main
1328;Analysis and Geometry of Markov Diffusion Operators(Grundlehren der mathematischen Wissenschaften (348));Book ;ISBN: 3319343238ISBN_13: 9783319343235;MA 6012B3;1;Main
1329;Convergence of Probability Measures ;Book ;ISBN: 0471197459ISBN_13: 9780471197454;MA 6018B3;1;Main
1330;Empirical Processes in M-Estimation (Cambridge Series inStatistical and Probabilistic Mathematics);Book ;ISBN: 0521123259ISBN_13: 9780521123259;MA 6030B3;1;Main
1331;A Probabilistic Theory of Pattern Recognition (StochasticModelling and Applied Probability);Book ;ISBN: 0387946187ISBN_13: 9780387946184;MA 6002B3;1;Main
1332;CentraleSupelec - Inventeur d'ingÇnieurs (French Edition) ;Book ;ISBN: 2749165482ISBN_13: 9782749165486;PU26011B10;1;Main
1333;The Corrections: A Novel ;Book ;ISBN: 0312421273ISBN_13: 9780312421274;LA 17072B5;1;Main
1334;PROBLEMS IN PROBABILITY (2ND EDITION) (Concrete andApplicable Mathematics);Book ;ISBN: 9814551457ISBN_13: 9789814551458;MA 6073B3;1;Main
1335;Counterexamples in TOPOLOGY ;Book ;ISBN_13: 9780486687353 ;MA6022B3;1;Main
1336;Counterexamples in PROBABILITY ;Book ;ISBN_13: 9780486499987 ;MA6021B3;1;Main
? Report: All Copies ? May 6, 2025 - June 4, 2025 ?;;;;;;
;;;;;;
04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:14 1/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1337;Les Identites Meurtrieres (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253150053ISBN_13: 9782253150053;FR16133B5;13;Main
1338;Soif (French Edition) ;Book ;ISBN: 2226443886ISBN_13: 9782226443885;FR16186B5;1;Main
1339;Herzog (Penguin Classics) ;Book ;ISBN: 0142437298ISBN_13: 9780142437292;LA 17019B5;1;Main
1340;De l'Open Innovation Ö l'Intelligence Collective - 2e Çd.:Mobilisez votre Çcosystäme pour accÇlÇrer votretransformation (StratÇgies et management) (French Edition);Book ;ISBN: 2100778331ISBN_13: 9782100778331;GI 12002B4;1;Main
1341;De l'Open Innovation Ö l'Intelligence Collective - 2e Çd.:Mobilisez votre Çcosystäme pour accÇlÇrer votretransformation (StratÇgies et management) (French Edition);Book ;ISBN: 2100778331ISBN_13: 9782100778331;GI 12002B4;2;Main
1342;THOSE WHO INSPIRE ;Book ;PU26008B10;1;Main;
1343;Les Sept Savoirs nÇcessaires Ö l'Çducation du futur (Scienceshumaines (H.C.)) (French Edition);Book ;ISBN: 2020419645ISBN_13: 9782020419642;SH18029B6;1;Main
1344;LA CHINE ET NOUS ;Book ;ISBN_13: 9789954105831 ;FR16059B5;1;Main
1345;Savoir pour agir - Surmonter les obstacles Ö l'apprentissageorganisationnel: Surmonter les obstacles Ö l'apprentissageorganisationnel (Fonctions de l'entreprise) (French Edition);Book ;ISBN: 2100070290ISBN_13: 9782100070299;GI 12020B4;1;Main
1346;L'art de l'enchantement (French Edition) ;Book ;ISBN: 235456029XISBN_13: 9782354560294;BU14002B4;1;Main
1347;Les secrets des entrepreneurs de la Silicon Valley: Innoverpour devenir leader. (EYROLLES) (French Edition);Book ;ISBN: 2212563590ISBN_13: 9782212563597;BU14004B4;1;Main
1348;Si tu veux changer ta vie... commence par faire ton lit (HorsCollection) (French Edition);Book ;ISBN: 2100779613ISBN_13: 9782100779611;DP19069B7;1;Main
1349;LES 5 CLES POUR REUSSIR SES CARRIERES (EXPERTISES)(French Edition);Book ;ISBN: 2916831266ISBN_13: 9782916831268;DP19045B7;1;Main
1350;100 CV et lettres de motivation pour tous les profils ;Book ;ISBN: 2846248877ISBN_13: 9782846248877;SH18001B6;1;Main
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:14 2/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1351;Bien prÇparer ses entretiens avec les recruteurs (Premieremploi) (French Edition);Book ;ISBN: 2846247528ISBN_13: 9782846247528;SH18003B6;1;Main
1352;Au co de la relation d'aide : RÇflexion sur des fondamentauxde la thÇrapie et du coaching;Book ;ISBN: 2100507001ISBN_13: 9782100507009;DP19003B7;1;Main
1353;L'ÇlÇment humain: - Comprendre le lien entre estime de soi,confiance et performance (Grandes rÇfÇrences);Book ;ISBN: 2100503685ISBN_13: 9782100503681;DP19044B7;1;Main
1354;introduction a la psychologie positive (PAYOT) ;Book ;ISBN: 2228907987ISBN_13: 9782228907989;SH18012B6;1;Main
1355;L'Çvaluation de l'entreprise - mÇthode DCF (FINANCE) ;Book ;ISBN: 271786816XISBN_13: 9782717868166;GI 12009B4;1;Main
1356;La miraculeuse efficacitÇ de la thÇorie quantique(OJ.SCIENCES) (French Edition);Book ;ISBN: 2738131824ISBN_13: 9782738131829;PH 1436B1;1;Main
1357;ENTREPRENDRE EN FAMILLE ;Book ;BU14001B4;1;Main;
1358;PORT TANGER ;Book ;PU26007B10;1;Main;
1359;PORT TANGER ;Book ;PU26007B10;3;Main;
1360;THOSE WHO INSPIRE ;Book ;PU26008B10;9;Main;
1361;THOSE WHO INSPIRE ;Book ;PU26008B10;2;Main;
1362;THOSE WHO INSPIRE ;Book ;PU26008B10;3;Main;
1363;THOSE WHO INSPIRE ;Book ;PU26008B10;4;Main;
1364;THOSE WHO INSPIRE ;Book ;PU26008B10;5;Main;
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:14 3/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1365;THOSE WHO INSPIRE ;Book ;PU26008B10;10;Main;
1366;THOSE WHO INSPIRE ;Book ;PU26008B10;8;Main;
1367;THOSE WHO INSPIRE ;Book ;PU26008B10;7;Main;
1368;THOSE WHO INSPIRE ;Book ;PU26008B10;6;Main;
1369;Annuaire 2019 ;Book ;PU26001B10;1;Main;
1370;Careers in Banking & Finance ;Book ;PU26002B10;1;Main;
1371;Time Series Analysis and Its Applications: With R Examples(Springer Texts in Statistics);Book ;ISBN: 1461427592ISBN_13: 9781461427599;MA 6088B3;1;Main
1372;Un Peu Plus Loin Sur La Droite (Nouveau Policier) (FrenchEdition);Book ;ISBN: 2290351318ISBN_13: 9782290351314;FR16194B5;1;Main
1373;Quantitative Risk Management: Concepts, Techniques, andTools (Princeton Series in Finance);Book ;ISBN: 0691122555ISBN_13: 9780691122557;EF 10022B3;1;Main
1374;Art Comme Experience (Folio Essais) (French Edition) ;Book ;ISBN: 2070435881ISBN_13: 9782070435883;SH18044B6;1;Main
1375;La Culture au pluriel (Points essais) (French Edition) ;Book ;ISBN: 2020202743ISBN_13: 9782020202749;SH18045B6;1;Main
1376;Recherches philosophiques (Tel, 404) (French Edition) ;Book ;ISBN: 2070141470ISBN_13: 9782070141470;SH18046B6;1;Main
1378;La Philosophie Comme Maniere de Vivre (Ldp Bib.Essais)(French Edition);Book ;ISBN: 2253943487ISBN_13: 9782253943488;SH18047B6;1;Main
1379;L'espoir de Pandore (Poche / Sciences humaines et sociales)(French Edition);Book ;ISBN: 2707152366ISBN_13: 9782707152367;SH18048B6;1;Main
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:14 4/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1382;Invention du Quotidien tome 1 : Arts de faire (CollectionFolio/Essais);Book ;ISBN: 2070325768ISBN_13: 9782070325764;SH18049B6;1;Main
1383;RITES D INTERACTION (LE SENS COMMUN) ;Book ;ISBN: 2707300225ISBN_13: 9782707300225;SH18050B6;1;Main
1384;L'Art d'àtre juste: L'imagination littÇraire et la vie publique(Essais) (French Edition);Book ;ISBN: 2081290103ISBN_13: 9782081290105;SH18051B6;1;Main
1385;La Vierge et le neutrino (Sciences humaines grand format)(French Edition);Book ;ISBN: 2846711445ISBN_13: 9782846711449;SH18052B6;1;Main
1386;êthique et Çconomie: Et autres essais. Traduit de l'anglais parSophie Marnat;Book ;ISBN: 2130608248ISBN_13: 9782130608240;SH18053B6;1;Main
1387;La revanche des contextes: Des mÇsaventures de l'ingÇnieriesociales en Afrique et au-delÖ (HOMMES ET SOCIE) (FrenchEdition);Book ;ISBN: 2811123628ISBN_13: 9782811123628;SH18054B6;1;Main
1388;Sciences des donnÇes (Colläge de France) (French Edition) ;Book ;ISBN: 2213709734ISBN_13: 9782213709734;MA 6094B3;1;Main
1389;Introduction Ö l'optimisation continue et discräte - avecexercices et problämes corrigÇs (IRIS);Book ;ISBN: 2746248638ISBN_13: 9782746248632;MA 6095B3;1;Main
1390;Calcul Scientifique: Cours, exercices corrigÇs et illustrationsen Matlab et Octave (French Edition);Book ;ISBN: 8847016754ISBN_13: 9788847016750;MA 6096B3;1;Main
1391;Systämes multi-ächelles: ModÇlisation et simulation(MathÇmatiques et Applications, 47) (French Edition);Book ;ISBN: 3540253130ISBN_13: 9783540253136;MA 6097B3;1;Main
1392;Numerical Methods for Solving Partial Differential Equations:A Comprehensive Introduction for Scientists and Engineers;Book ;ISBN: 1119316111ISBN_13: 9781119316114;MA 6098B3;1;Main
1393;Man in the Dark ;Book ;ISBN: 0571240755ISBN_13: 9780571240753;LA 17085B5;1;Main
1394;Herzog ;Book ;ISBN: 0141184876ISBN_13: 9780141184876;LA 17083B5;1;Main
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:14 5/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1395;How to Write and Publish a Scientific Paper ;Book ;ISBN: 1316640434ISBN_13: 9781316640432;LA 17084B5;1;Main
1396;The Elements of Style ;Book ;ISBN: 194564401XISBN_13: 9781945644016;LA 17087B5;1;Main
1397;Waiting for Godot: A Tragicomedy in Two Acts ;Book ;ISBN: 0571229115ISBN_13: 9780571229116;LA 17089B5;1;Main
1398;The Presentation Book for Senior Managers: An Essential Stepby Step Guide to Structuring and Delivering EffectiveSpeeches;Book ;ISBN: 1631576356ISBN_13: 9781631576355;LA 17088B5;1;Main
1399;PowerPoint 2019 for dummies ;Book ;ISBN: 1119514223ISBN_13: 9781119514220;LA 17086B5;1;Main
1400;English At Work: Find and Fix Your Mistakes in BusinessEnglish as a Foreign Language (Teach Yourself);Book ;ISBN: 1529392853ISBN_13: 9781529392852;LA 17082B5;1;Main
1401;L'Africain du Groenland (Arthaud poche) (French Edition) ;Book ;ISBN: 208134372XISBN_13: 9782081343726;FR16204B5;1;Main
1402;La Greve Des Battu (French Edition) (Motifs) ;Book ;ISBN: 226806879XISBN_13: 9782268068794;FR16205B5;1;Main
1403;Errance (Points documents) (French Edition) ;Book ;ISBN: 2020604191ISBN_13: 9782020604192;FR16203B5;1;Main
1404;CONTES GLACES (ZONE J) (French Edition) ;Book ;ISBN: 2874230243ISBN_13: 9782874230240;FR16202B5;1;Main
1405;∑ l'ombre des Çtoiles : Batteur de stars ;Book ;ISBN_13: 9782411000435 ;FR16201B5;1;Main
1406;AmÇlioration des performances par l'analyse de la valeur(FINANCE, GESTIO);Book ;ISBN: 2746213494ISBN_13: 9782746213494;GI 12026B4;1;Main
1407;Mastering the Requirements Process: Getting RequirementsRight;Book ;ISBN: 0321815742ISBN_13: 9780321815743;GI 12027B4;1;Main
1408;SñretÇ de fonctionnement des Çquipements et calculs defiabilitÇ;Book ;ISBN: 2746232014ISBN_13: 9782746232013;PH 280B1;1;Main
